"","Text"
"32","Mods:</p><p>Here, let me go--</p><p>MARTIN O'"
"33","MALLEY:</p><p>John, may I-- may I interject here?  Secretary Clinton also said that we left the h-- it was not just the invasion of Iraq which Secretary Clinton voted for and has since said was a big mistake, and indeed it was.  But it was also the cascading effects that followed that.</p><p>It was also the disbanding of-- many elements of the Iraqi army that are now showing up as part of ISIS.  It was-- country after country without making the investment in human intelligence to understand who the new leaders were and the new forces were that are coming up.  We need to be much more far f-- thinking in this new 21st century era of-- of nation state failures and conflict.  It's not just about getting rid of a single dictator.  It is about understanding the secondary and third consequences that fall next.</p><p>JOHN "
"34","Mods:</p><p>All right, Secretary.</p><p>HILLARY "
"35","CLINTON:</p><p>Well, and-- and of course each of these cases needs to be looked at individually and analyzed.  Part of the problem that we have currently in the Middle East is that Assad has hung onto power-- with the very strong support of Russia and Iran and with the proxy of-- Hezbollah-- being there basically fighting his battles.</p><p>So I don't think you can paint with a broad brush.  This is an incredibly complicated region of the world.  It's become more complicated.  And many of the fights that are going on are not ones that the United States has either started or have a role in.  The Shia-- Sunni split, the dictatorships that have suppressed people's aspirations, the increasing globalization without any real safety valve for people to have a better life.  We saw that in Egypt.  We saw a dictator overthrown, we saw Muslim Brotherhood president installed and then we saw him ousted and the army back.  So I think we've got to understand the complexity of the world that we are facing and no places more so than in the Middle East.</p><p>JOHN "
"36","Mods:</p><p>I understand.  Quickly, Senator.</p><p>BERNIE "
"37","SANDERS:</p><p>The-- the secretary's obviously right.  It is enormously complicated.  But here's something that I believe we have to do is we put together an international coalition.  And that is we have to understand that the Muslim nation in the region, Saudi Arabia, Iran, Turkey, Jordan, all of these nations, they're gonna just have to get their hands dirty, their boots on the ground.</p><p>They are gonna have to take on ISIS.  This is a war for the soul of Islam.  And those countries who are opposed to Islam, they are gonna have to get deeply involved in a way that is not the case today.  We should be supportive of that effort.  So should the UK, so should France.  But those Muslim countries are gonna have to lead the efforts.  They are not doing it now.</p><p>(OVERTALK)</p><p>HILLARY "
"38","CLINTON:</p><p>Well, I think--</p><p>(OVERTALK)</p><p>HILLARY "
"39","CLINTON:</p><p>I-- I think that is very unfair to a few that you mentioned-- most particularly Jordan which has put a lot on the line to the United States.  It's also taken in hundreds of thousands of refugees from Syria and has been therefore subjected to threats and attacks-- by extremists themselves.</p><p>I do agree that in particular Turkey and the Gulf Nations have got to make up their minds.  Are they going to stand with us against this kind of jihadi radicalism or not?  And there are many ways of doing it.  They can provide sources, they can provide resources.  But they need to be absolutely clear about where they stand.</p><p>JOHN "
"40","Mods:</p><p>Let me ask you-- Secretary Clinton a question about leadership.  We're asking about what role does America pick.  Let me ask you about Libya.  So Libya is a country in which ISIS has-- taken hold in part because of the chaos after Muammar Gaddafi, that was an operation you championed.  President Obama says is the lesson he took from that operation.  In an interview he said, ""The lesson was do we have an answer for the day after.""</p><p>(OVERTALK)</p><p>JOHN "
"41","Mods:</p><p>20:19:51:00  --supposed to be one of the lessons that we learned after the Iraq war?  And how did you get it wrong with Libya if the key lesson of the Iraq war is have a plan for after?</p><p>HILLARY "
"42","CLINTON:</p><p>Well, we did have a plan.  And I think it's-- fair to say that-- of all of the Arab leaders Gaddafi probably had more blood on his hands of Americans than anybody else.  And when he moved on his own people threatening-- a mass occurred, genocide-- the Europeans and the Arabs, our allies and partners-- did ask for American help.  And we provided it.  And we didn't put a single boot on the ground.  And-- Gaddafi was deposed.</p><p>The Libyans turned out for one of the most successful Arab elections that any Arab country has had.  They elected moderate leaders.  Now there has been a lot of turmoil and trouble as they have tried to deal with these radical elements which you find in this arc of instability from North Africa to Afghanistan.  And it is imperative that we do more-- not only to help our friends and partners protect themselves and protect our own homeland-- but also to work to try to deal with this arc of instability which does have a lot of impact on what happens in a country like Libya.</p><p>JOHN "
"43","Mods:</p><p>Governor O'Malley, I wanna ask you a question and you can add whatever you'd like to.  But let me ask you, is the world too dangerous a place for a governor who has no foreign policy experience?</p><p>MARTIN O'"
"44","MALLEY:</p><p>John, the world is a very dangerous place.  But the world is not too dangerous of a place for the United States of America provided we act according to our principles, provided we act intelligently.  I mean, let's talk about this arc of-- of instability that Secretary Clinton talked about.</p><p>Libya is now a mess.  Syria is a mess.  Iraq is a mess.  Afghanistan is a mess.  As Americans we have shown ourselves-- to have the greatest military on the face of the planet.  But we are not so very good at anticipating threats and appreciating just how difficult it is to build up stable democracies and make the investments in sustainable development that we must as the nation if we are to attack the root causes of-- of the source of-- of instability.</p><p>And I wanted to add one other thing, John, and I think it's important for all of us on this stage.  I was in Burlington, Iowa and a mom of a service member of ours who served two duties in Iraq said, ""Governor O'Malley, please, when you're with your other candidates and colleagues on-- on stage, please don't use the term boots on Iraq-- on the ground.  Please don't use the term boots on the ground.  My son is not a pair of boots on the ground.""</p><p>These are American soldiers and we fail them when we fail to take into account what happens the day after a dictator falls.  And when we fall to act with a whole of government approach with sustainable development, diplomacy and our economic power in-- alignment with our principles.</p><p>HILLARY "
"45","CLINTON:</p><p>Well, I think it's perfectly-- fair to say that we invested quite a bit in development aid.  Some of the bravest people that I had the privilege of working with as secretary of state were our development professionals who went sometimes alone, sometimes with our military into very dangerous places in Iraq, in Afghanistan-- elsewhere.  So there does need to be a whole of government approach.  But just because we're involved and we have a strategy doesn't mean we're going to be able to dictate the outcome.  These are often very long-term kinds of-- investments that--</p><p>(OVERTALK)</p><p>BERNIE "
"46","SANDERS:</p><p>But when you talk about the long-term consequences of war let's talk about the men and women who came home from war.  The 500,000 who came home with P.T.S.D. and traumatic brain injury.  And I would hope that in the midst of all of this discussion this country makes certain that we do not turn our backs on the men and women who put their lives on the line to defend us.  And that we stand with them as they have stood with us.</p><p>JOHN "
"47","Mods:</p><p>Secretary Clinton, you mentioned radical jihadists.</p><p>HILLARY "
"48","CLINTON:</p><p>Yes.</p><p>JOHN "
"49","Mods:</p><p>Marco Rubio, also running for president, said that this attack showed-- in-- the attack in Paris showed that we are at war with radical Islam.  Do you agree with that characterization, radical Islam?</p><p>HILLARY "
"50","CLINTON:</p><p>I don't think we're at war with Islam.  I don't think we at war with all Muslims.  I think we're at war with jihadists who have--</p><p>JOHN "
"51","Mods:</p><p>Just to interrupt, he-- he didn't say all Muslims.  He just said radical Islam.  Is that a phrase you don't--</p><p>HILLARY "
"52","CLINTON:</p><p>I-- I think that you can-- you can talk about Islamists who-- clearly are also jihadists.  But I think it's-- it-- it's not particularly helpful to make the case that-- Senator Sanders was just making that I agree with that we've gotta reach out to Muslim countries.  We've gotta have them be part of our coalition.</p><p>If they hear people running for-- president who basically shortcut it to say we are somehow against Islam-- that was one of the real contributions-- despite all the other problems that George W. Bush made after 9/11 when he basically said after going to a mosque in Washington, ""We are not at war with Islam or Muslims.  We are at war with violent extremism.  We are at war with people who use their religion for purposes of power and oppression.""  And yes, we are at war with those people that I don't want us to be painting with too brand a brush.</p><p>(OVERTALK)</p><p>JOHN "
"53","Mods:</p><p>The reason I ask is that you gave a speech at Georgetown University in which you said that it was important to show-- quote-- respect even for one's enemy.  Trying to understand and in so far as psychologically possible empathize with their perspective and point of view.  Can you explain what that means in the context of this kind of barbarism?</p><p>HILLARY "
"54","CLINTON:</p><p>I think with this kind of barbarism and nihilism-- it's very hard to understand other than the lust for power, the rejection of (UNINTEL), the total disregard for human life-- freedom or any other value that we know and-- respect.</p><p>Historically it is important to try to understand your adversary in order to figure out how they are thinking, what they will be doing, how they will react.  I-- I plead (?)-- that it's very difficult when you deal with-- ISIS and organizations like that whose-- whose behavior is so barbaric and so vicious-- that it doesn't seem to have any purpose other than lust for killing and power.  And that's very difficult to put ourselves in other shoes.</p><p>(OVERTALK)</p><p>JOHN "
"55","Mods:</p><p>Very quickly, do either of you-- radical Islam, do either of you use that--</p><p>(OVERTALK)</p><p>JOHN "
"56","Mods:</p><p>phrase?</p><p>BERNIE "
"57","SANDERS:</p><p>I don't think the term is what's important.  What is important to understand is we have organizations, whether it is ISIS or Al Qaeda who do believe we should go back several thousand years, we should make women third-class citizens, that we should allow children to be sexually assaulted, that they are a danger to modern society.  And that this world with American leadership can and must come together to destroy them.  We can do that.</p><p>MARTIN O'"
"58","MALLEY:</p><p>John--</p><p>BERNIE "
"59","SANDERS:</p><p>And it requires an entire will to come together including, in a very active way, the Muslim nations.</p><p>JOHN "
"60","Mods:</p><p>Governor O'Malley, you've been making the case-- when you talk about lack of forward vision, you're essentially saying that Secretary Clinton lacks that vision.  And this critique matches up with this discussion of language.  The critique is that the softness of language betrays a softness of approach.  So if this language-- if you don't call it by what it is, how can your approach be effective to the cause.  That's the critique.</p><p>MARTIN O'"
"61","MALLEY:</p><p>I believe calling it what it is, is to say radical jihadis, that's to call what it is.  But John, let's not fall into the trap of thinking that all of our Muslim-American neighbors in this country are somehow our enemies here.  They are our first line of defense.</p><p>And we are going to be able to defeat ISIS on the ground there as well as in this world-- because of the Muslim-Americans in our country and throughout the world who understand that this brutal and barbaric group is perverting the name of a great world religion.  And now like we never before-- we need our Muslim-American neighbors to stand up and to-- and to be a part of this.</p><p>JOHN "
"62","Mods:</p><p>Secretary Clinton, the-- French president has called this attack an act of war.  A couple of days ago you were asked if you would declare war on ISIS and you said no.  Would you-- would you-- what would you say now?</p><p>HILLARY "
"63","CLINTON:</p><p>Well, we-- we have an authorization to use military force against terrorists.  We-- passed it after 9/11.</p><p>JOHN "
"64","Mods:</p><p>And you think that covers all of it?</p><p>HILLARY "
"65","CLINTON:</p><p> It-- it certainly does cover it.  I-- I would like to see it updated.</p><p>JOHN "
"66","Mods:</p><p>20:28:20:00  If you were in the Senate-- if you were in the Senate would you be okay with-- the commander in chief doing that without coming back to you?</p><p>HILLARY "
"67","CLINTON:</p><p>No.  It would have to go through the Congress.  And I know the White House has actually been working with members of Congress.  Maybe now we can get it moving again so that we can upgrade it so that it does include all the tools and everything in our arsenal that we can use to try to work with our allies and our friends, come up with better intelligence.</p><p>You know, it is difficult finding intelligence that is actionable in a lotta these places.  But we have to keep trying.  And we have to do more to prevent the flood of foreign fighters who have gone to Syria, especially the ones with-- with western passports that come back.  So there's a lot of work we need to do.  And I wanna be sure that what's called the AUMF has the authority that is needed going forward.</p><p>(OVERTALK)</p><p>JOHN "
"68","Mods:</p><p>Let me just-- let that is-- whatever you've got to say refugees.  You've been a little vague about what you've done in the Syrian refugees.</p><p>(OVERTALK)</p><p>JOHN "
"69","Mods:</p><p>I mean, what's your view on them now--</p><p>BERNIE "
"70","SANDERS:</p><p>Let me pick up an issue that-- a very important issue that we have not yet discussed.  This nation is the most powerful military in the world.  We're spending over $600 billion a year on the military.  And yet significantly less than 10% of that money is used to be fighting international terrorism.</p><p>We are spending hundreds of billions of dollars (UNINTEL), 5,000 nuclear weapons.  I think we need major reform in the military making it more cost effective but also focusing on the real crisis that faces us.  The Cold War is over and our focus has got to be on intelligence, increased manpower, fighting international terrorism.</p><p>In terms of refugees I believe that the United States has the moral responsibility with Europe, with Gulf countries like Saudi Arabia to make sure that when people leave countries like Afghanistan and Syria with nothing more than the clothing on their back that of course we reach out.  Now what the magic number is, I don't know.  Because we don't know the extent of the problem.  But I certainly think that the United States should take its full responsibility in helping those.</p><p>JOHN "
"71","Mods:</p><p>Governor O'Malley, you have a magic number.  I think it's 65,000.  Does that number go up or down based on what happened yesterday?</p><p>MARTIN O'"
"72","MALLEY:</p><p>John, I was the first person on this stage to say that we should accept the 65,000 Syrian refugees that were s-- were fleeing the sort of murder of-- of ISIL.  And I believe that that needs to be done with proper screening.  But accommodating 65,000 refugees in our country, people of 320 million is akin to making room for six and a half more people in a baseball stadium with 32,000.</p><p>There are other ways to lead than to be a moral leader in this world rather than at the opposite end of a drone strike.  But I would want to agree with something that Senator Sanders says, the nature of warfare has changed.  This is not a conflict where we send in the third divisions of (UNINTEL).  This is-- a new era of conflict where traditional ways of-- of huge standing armies are not as-- serve our purposes as well as special ops, better intelligence and being more proactive.</p><p>JOHN "
"73","Mods:</p><p>Just very quickly, 65,000, the number stays?</p><p>MARTIN O'"
"74","MALLEY:</p><p>That's what I understand is the request from the international--</p><p>(OVERTALK)</p><p>JOHN "
"75","Mods:</p><p>But-- what would you want?</p><p>MARTIN O'"
"76","MALLEY:</p><p>I would want us to take our place among the nations of the world to alleviate the sorta death and the-- the-- the specter we saw--</p><p>(OVERTALK)</p><p>MARTIN O'"
"77","MALLEY:</p><p>--little kids, fathers walking up on a beach.</p><p>JOHN "
"78","Mods:</p><p>Secretary Clinton, let me ask you a question from Twitter that's come in.  And this is a question on this issue of-- of refugees.  The question is with the U.S. preparing to absorb Syrian refugees, how do you propose we screen those coming in to keep our citizens safe?</p><p>HILLARY "
"79","CLINTON:</p><p>I think that is the number one requirement.  I also said that we should take-- increased numbers of refugees.  The administration originally said ten.  I said we should go to 65 but only if we have as carefully screening and vetting process as we can imagine whatever resources it takes.</p><p>Because I do not want us to-- in any way-- inadvertently allow people who wish us harm to come into our country.  But I wanna say a quick word about what-- Senator Sanders and-- and then O-- and Governor O'Malley said.  We do have to take a hard look at the defense budget.  And we do have to figure out how we get ready to fight the adversaries of the future, not the past.  But we have to also be very clear that we do have some continuing challenges.  We got challenges in the South China Sea because of what China is doing in building up-- these-- military installations.</p><p>We have problems with Russia.  Just the other day Russia allowed a-- television camera to see the plans for a drone submarine that could carry a tactical nuclear weapon.  So we've gotta look at the full range and then come to some smart decisions about have-- having more streamlined and focused--</p><p>(OVERTALK)</p><p>JOHN "
"80","Mods:</p><p>Senator Sanders, I'm sorry, we're gonna have to take a break now.  We will have more of the Democratic debate here from Drake University in Des Moines, (APPLAUSE) Iowa.</p><p> JOHN "
"81","Mods:</p><p>Wanna turn now from terrorism to another important issue for many Americans, the financial squeeze on the middle class.  For that, we go to my CBS News colleague, Nancy Cordes.  Nancy?</p><p>NANCY "
"82","CORDES:</p><p>John, thanks so much.  We've learned a lot during the course of this campaign about the is that you'd like to do-- that you think help the middle class.  So we haven't learned quite as much about who would pick up the tab.  So Secretary Clinton, first to you, you want to cap individual subscription drug costs at $250 a month.  You want to make c-- public college debt free.  You want community college to be free altogether and you want mandatory paid family leave.  So who pays for all that?  Is it employers?  Is it the taxpayers?  And which taxpayers?</p><p>HILLARY "
"83","CLINTON:</p><p>Well, first of all, it isn't the middle class.  I have made very clear that-- hard-working, middle class families need a raise, not a tax increase.  In fact-- wages adjusted for inflation haven't risen since-- the turn of the last century after my husband's administration.  So we have a lotta work to do to get jobs going again, get incomes rising again.</p><p>And I have laid out specific plans.  You can go to my website, HillaryClinton.com and read the details.  And I would pay for it by, yes, taxing the wealthy more, closing corporate loopholes, deductions and other kinds of favorable treatment.  And I can do it without raising the debt, without raising taxes on the middle class and making it reasonably-- manageable within our budget so that we can be fiscally responsible at the same time.</p><p>QUESTION #3:</p><p>But a quick follow-up on that $250 a month a cap.  Wouldn't the pharmaceutical companies and insurance companies just pass that cost onto the consumers in the form of higher premiums?</p><p>HILLARY "
"84","CLINTON:</p><p>Well, we're gonna have to redo the way the prescription drug-- industry does business.  For example, it is outrageous that we don't have an opportunity for Medicare to negotiate for lower prices.  In fact, American-- consumers pay the highest prices in the world for drugs that we helped to be developed through the National Institutes of Health and that we then tested through the FDA.  So there's more to my plan than just the cap.  We have to go after price gouging and monopolistic practices and get Medicare the authority to negotiate.</p><p>QUESTION #3:</p><p>Governor O'Malley, you also want to make public college debt free, you want to--</p><p>MARTIN O'"
"85","MALLEY:</p><p>That's right.</p><p>(OVERTALK)</p><p>QUESTION #3:</p><p> --tuition.  You've got your own family leave plan.  How would you pay for it?  In Maryland you raised the sales tax, you raised the gas tax and you raised taxes on families making over $150,000 a year.  Is that the blueprint?</p><p>MARTIN O'"
"86","MALLEY:</p><p>Nancy, the blueprint in Maryland that we follow was, yes, we did, in fact, raise the-- the sales tax by a penny.  And we made our public schools the best public schools in America for five years in a row with that investment.  And, yes, we did ask everyone the-- the top 14% of earners in our state to pay more in their income tax.</p><p>And we were the only state to go four years without a penny's increase to college tuition.  So while other candidates will talk about the things they would like to do, I actually got these things in a state that (UNINTEL) not only a triple A bond rating but the highest medium income in America.</p><p>I believe that we paid for many of the things that we need to do again as a nation, investing in the skills of our people, our infrastructure and research and development and also climate change-- by the elimination of one big entitlement that we can no longer afford as a people.  And that is the entitlement that many of our super wealthiest citizens feel they are entitled to pay, namely a much lower income tax rate and a lower tax rate on capital gains.  I believe capital gains for the most part should be taxed the same way we tax incomes from hard work, sweat and (UNINTEL).  And if we do those things we can be-- a country that actually can afford debt-free college again.</p><p>QUESTION #3:</p><p>Senator Sanders, you want to make public college free altogether.  You want to increase social security benefits.  And you want to spend-- spend $1 trillion on infrastructure.  So you said that to do some of these things you'll impose a tax on top earners.  How high would their rate go in a Sanders administration?</p><p>BERNIE "
