"","Text"
"44","  Quick follow-up because you-- you--   Secretary Clinton, you'll get a chance to respond.  You said they know what they're going to get.  What are they gonna get? BERNIE "
"45","  Secretary Clinton gets to respond. HILLARY "
"46","  Hold on, hold on, he was attacked.  Go--   BERNIE "
"47","  Senator, we have to get Senator O'Malley in.  But no-- along with your answer how many Wall Street-- veterans would you have in your administration? MARTIN O'"
"48","  All right, I wanna get to the-- bridge to the issues of guns here.  Secretary Clinton, you've said that Senator Sanders is not tough enough on guns.  But basically he now supports roughly the same things you do.  So can you tell us some of the exact differences going forward between the two of you on the issue of gun control? HILLARY "
"49","  Secretary Clinton just a quick follow up, you say that-- Senator Sanders took a vote that-- on immunity that you don't like.  So if he can be tattooed by a single vote and that ruins all future-- opinions by him on this issue, why then is he right when he says you're wrong vote on Iraq tattoos you for offering your judgment? HILLARY "
"50","  Senator, a mistake or not, you're-- you're-- so quickly before-- BERNIE "
"51","  Not a mistake. MARTIN O'"
"52","  Hold on. BERNIE "
"53","  Sorry, I'm gonna bring in Nancy Cordes with a question from Twitter about this exchange.   NANCY "
"54","  That's-- a final word-- the final word, Governor O'Malley, before we go to commercial. MARTIN O'"
"55","  We have to-- we have to go for a commercial, I'm sorry.  We have to go for a commercial here.  We'll be right back with the democratic debate here in Des Moines, Iowa on CBS.   JOHN "
"56","  Back now in Des Moines with the candidates for the Democratic presidential nomination.  Senator Sanders, I wanna start with you.  Let's say you're elected president.  Congratulations. BERNIE "
"57","  You've said you'll have a revolution. BERNIE "
"58","  But there's a conservative revolution going on in America right now.  As John Boehner knows, and as Democrats know who have lost in state Houses across the country-- BERNIE "
"59","  --those conservatives are watching tonight and probably shaking their heads.  So   how you deal with that part of the country?  The revolution's already happening, but on the other side. BERNIE "
"60","  Senator, a 30-second follow-up.  We've heard already tonight that-- that your 92% of support for background checks.  Let the ar-- let's look at that as-- as an example.  If there were something 92% of the public was for, there have been these-- these mass shootings, there was emotional support behind it. BERNIE "
"61","  Bipartisan support. BERNIE "
"62","  The president, the full force of his office. BERNIE "
"63","  It went nowhere.  That's the model you're talking about-- nothing happened. BERNIE "
"64","  A ques-- a question from Kathie Obradovich. KATHIE "
"65","  Secretary Clinton, just one-- more question on the email question.  For Democrats, there's an F.B.I. investigation going on.  Can you satisfy Democrats who might worry about another shoe dropping?  That you and your staff have been totally truthful to them and that another shoe is not gonna drop? HILLARY "
"66","  What-- HILLARY "
"67","  Another-- well, race relations is another issue everyone cares about.  And we're gonna switch to that now.  Governor O'Malley, let me ask you a question.  The-- the head of the F.B.I. recently said, ""It might be possible that some police forces are not enforcing the law because they're worried about being caught on camera.""  The acting head of the Drug Enforcement Administration said a similar thing.  Where-- where are you on this question and what would you do if you were president and two top members of your administration were floating that idea? MARTIN O'"
"68","  All right, governor.  Sen--   se-- Senator Sanders, one of your former colleagues, an African American member of Congress said to me recently that a young African American man had asked him where to find hope in life.  And he said, ""I just don't know what to tell him about being young and black in America today.""  What would you tell that young African American man? BERNIE "
"69","  Secretary-- Clinton, you told some Black Lives Matter activists recently that there's a difference between rhetoric and activism and what you were trying to do, which is-- was enforce law-- or get laws passed that would help what they-- were pushing for.  But-- recently at the University of Missouri, that activism was very, very effective.  So would you suggest that kind of activism take place at other universities across the country? HILLARY "
"70","  All right.  Over to Kevin Cooney.    KEVIN "
"71","  Governor O'Malley, jump in, yeah. MARTIN O'"
"72","  All right, Nancy Cordes has a question. NANCY "
"73","  Thirty seconds-- BERNIE "
"74","  I'm sorry, I'm sorry governor.  We've got to take a break or the machine breaks down.    Begin the final segment of this debate with something none of you saw coming.  Something quite unexpected.  Soon after your inauguration, you will face a crisis.  All presidents do.  What crisis have you experienced in your life that suggest you've been tested and can face that inevitable challenge?  Secretary Clinton, you first. HILLARY "
"75","  Yeah.  Governor O'Malley, what crisis proves that you're tested? MARTIN O'"
"76","  Senator Sanders, what   experience could you draw on in a crisis-- BERNIE "
"77","  All right, Senator Sanders.  We end--   we've ended the evening on crisis, which underscores and reminds us again of what happened last night.  Now let's move to closing statements, Governor O'Malley? MARTIN O'"
"78","  Secretary-- Secretary Clinton? HILLARY "
"79","  All right, back with some final thoughts in a moment.    And as the candidates are thanking each other for a good debate, Clinton, Sanders, and O'Malley now have two debates in the books, so four more to come.  So, Major Garrett, how did they do tonight and what's getting the most talked about on Twitter?  Major Garrett is with us in this finale. MAJOR "
