"","Text"
"26","   Governor Kasich, You chose to expand Medicaid in your state, unlike several other governors on this stage tonight, and it is already over budget by some estimates costing taxpayers an additional $1.4 billion in just the first 18 months.  You defended your Medicaid expansion by invoking God, saying to skeptics that when they arrive in heaven, Saint Peter isn't going to ask them how small they've kept government, but what they have done for the poor.  Why should Republican voters, who generally want to shrink government, believe that you won't use your Saint Peter rationale to expand every government program?  "
"27","   Alright, gentlemen, we're gonna switch topics now and talk a bit about terror and national security.      Governor Christie.  You've said that Senator Paul's opposition to the NSA's collection of phone records has made the United States weaker and more vulnerable, even going so far as to say that he should be called before Congress to answer for it if we should be hit by another terrorist attack.      Do you really believe you can assign blame to Senator Paul just for opposing he bulk collection of people's phone records in the event of a terrorist attack?      "
"28","   Go ahead, sir.      "
"29","   Governor Christie, make your point.      "
"30","   Go ahead, governor.      "
"31","   Alright.      "
"32","   Alright, we've gotta cut it off there.      We have plenty more we want to get to.  That was an interesting exchange, thank you for that.      "
"33","   Well, I want to move on, because I have -- we're gonna get to you, governor, but I -- I really wanna get to a Facebook questioner.  His name is Alex Chalgren, and he has the following question:           "
"34","   Senator Cruz, I wanna talk to you about this, because many of the Facebook users and -- and -- the -- the folks on Facebook wanted the candidates to speak to ISIS tonight.      You asked the chairman of the joint chiefs a question: ""What would it take to destroy ISIS in 90 days?""  He told you ""IISIS will only be truly destroyed once they are rejected by the populations in which they hide.""  And then you accused him of pushing Medicaid for the Iraqis.      How would you destroy ISIS in 90 days?       "
"35","   You don't see it as...         "
"36","   ...an ideological problem -- an ideological problem in addition to a military one?         "
"37","   Governor Bush, for days on end in this campaign, you struggled to answer a question about whether knowing what we know now...    "
"38","   ...we would've invaded Iraq...    "
"39","   I remember it too, and ISIS, of course, is now thriving there.    You finally said, ""No.""    To the families of those who died in that war who say they liberated and deposed a ruthless dictator, how do you look at them now and say that your brother's war was a mistake?  "
"40","   Governor Walker, in February you said that we needed to gain partners in the Arab world.  Which Arab country not already in the U.S. led coalition has potential to be our greatest partner?    "
"41","   Dr. Carson, in one of his first acts as commander in chief, President Obama signed an executive order banning enhanced interrogation techniques in fighting terror.  As president, would you bring back water boarding?    "
"42","   We have a lot for you, don't worry.         "
"43","   Fear not, you may rue that request.     "
"44","   Gentlemen, the next series of questions deals with ObamaCare and the role of the federal government.    Mr. Trump, ObamaCare is one of the things you call a disaster.    "
"45","   Saying it needs to be repealed and replaced.    "
"46","   Now, 15 years ago, uncalled yourself a liberal on health care.  You were for a single-payer system, a Canadian-style system.    Why were you for that then and why aren't you for it now?  "
"47","   But on ObamaCare...    "
"48","   Mr. Trump, hold up one second.    "
"49","   All right, now, hold on, Senator Paul...    "
"50","   OK.    "
"51","   All right, let me...         "
"52","   Mr. Trump, it's not just your past support for single- payer health care.  You've also supported a host of other liberal policies.  Use -- you've also donated to several Democratic candidates, Hillary Clinton included, Nancy Pelosi.    You explained away those donations saying you did that to get business-related favors.    And you said recently, quote, ""When you give, they do whatever the hell you want them to do.""    "
"53","   So what specifically did...    UNIDENTIFIED "
"54","   -- they do?    "
"55","   Hold on.    We're going to -- we're going to move on.         "
"56","   We'll come back to you, Governor Walker.    "
"57","   We have many questions to come.    "
"58","   Many questions to come.         "
"59","   Governor Huckabee, on Facebook, John Pietricone asked this, ""Will you abolish or take away the powers and cut the size of the EPA, the IRS, the Department of Education?""    Now, broadly...         "
"60","   -- broadly, the size of government is a big concern for Facebook users, Facebook persons, as well as, obviously, conservatives.    But year after year, decade after decade, there are promises from Republicans to shrink government.  But year after year, decade after decade, it doesn't happen.    In fact, it gets bigger, even under Republican politicians.    So the question is, at this point, is the government simply too big for any one person, even a Republican, to shrink?     "
"61","   Dr. Carson...    UNIDENTIFIED "
"62","   Dr. Carson, do you agree with that?      "
"63","   Governor Bush?      "
"64","   We're going to come back to you, Dr. Carson.      Governor Bush, you are one of the few people on the stage who advocates for Common Core education standards, reading and math.  A lot of people on this stage vigorously oppose federal involvement in education.  They say it should all be handled locally.      President Obama's secretary of education, Arnie Duncan, has said that most of the criticism of Common Core is due to a, quote, ""fringe group of critics."" Do you think that's accurate?      "
"65","   Senator Rubio, why is Governor Bush wrong on Common Core?     "
"66","   And do you agree with your old friend?      "
"67","   We have many more questions coming on a host of topics, here from Quicken Loans Arena in Cleveland.  Stay with us.            UNIDENTIFIED "
"68","   We have many more questions coming on a host of topics. Here from Quicken Loans Arena in Cleveland.  Stay with us.           UNIDENTIFIED "
"69","   It's just before 10:00 p.m. on the East Coast. Welcome back to Quicken Loans Arena in Cleveland, Ohio, and the very first Republican primary debate of the 2016 presidential campaign.  Ten candidates on the stage, selected based on their standing in five national polls.  And tonight they are facing off, answering the questions you want asked.  We hope.           "
"70","       "
"71","   Gentlemen, another question for a few of you.    Yesterday, just yesterday, President Obama criticized Republican lawmakers trying to block the Iran deal, calling them knee-jerk partisans, adding that hardliners in Iran who chant ""death to America"" were quote, ""making common cause with the Republican caucus.""      Here's what two of your opponents on the five p.m. debate stage said about Iran.         "
"72","   Now, I wanna ask a few of you this.  First, Governor Walker.      You've said that you would tear up the Iran deal on day one.  If this deal is undone, what then?      "
"73","   Senator Paul, would you tear up the deal on day one?      "
"74","   Governor Huckabee, what do you think about what Senator Paul just said?      "
"75","   Thank you, gentlemen.      "
"76","   Well, the first debate night of the 2016 presidential campaign continues from Cleveland after a short time-out.  Stick around.  Social issues, next.           "
"77","   Senator Rubio, you favor a rape and incest exception to abortion bans.  Cardinal Timothy Dolan of New York just said yesterday those exceptions are preposterous.  He said they discriminate against an entire class of human beings.  If you believe that life begins at conception, as you say you do, how do you justify ending a life just because it begins violently, through no fault of the baby?      "
"78","   You don't favor a rape and incest exception?      "
"79","   Mr. Trump, in 1999, you said you were, quote, ""very pro- choice.""  Even supporting partial-birth abortion.  You favored an assault weapons ban as well.  In 2004, you said in most cases you identified as a Democrat.  Even in this campaign, your critics say you often sound more like a Democrat than a Republican, calling several of your opponents on the stage things like clowns and puppets.  When did you actually become a Republican?      "
"80","   Governor Bush, I want to ask you, on the subject of name calling of your fellow candidates, a story appeared today quoting an anonymous GOP donor who said you called Mr. Trump a clown, a buffoon, something else that cannot be repeated on television.      "
"81","   Is it true?      "
"82","   Mr. Trump, 30 seconds.      "
"83","   The subject of gay marriage and religious liberty. Governor Kasich, if you had a son or daughter who was gay or lesbian, how would you explain to them your opposition to same-sex marriage?      "
"84","   How would you -- how would you explain it to a child?       "
"85","   Senator Paul, in the wake of the Supreme Court's ruling on same sex marriage, Carol Fox on Facebook want to know the following.  Quote, what will you do to ensure Christians are not prosecuted for speaking out against gay marriage and will Christians be forced to conduct business that conflicts with their religious beliefs?      "
"86","   Governor Walker, many in the Black Live Matter movement, and beyond, believe that overly-aggressive police officers targeting young African Americans is the civil rights issue of our time.  Do you agree?  And if so, how do you plan to address it?  And if not, why not?     "
"87","   Thank you.    "
"88","  Welcome back to Cleveland.  Our next topic is foreign policy.  Candidates, you may not have seen the late developing news today our Fox Pentagon team broke earlier this evening about a top Iranian general traveling to Moscow to meet with Russian President Vladimir Putin.    His name is General Qassem Soleimani, he's blamed for hundreds of U.S. troops death in Iraq, and Afghanistan.  His trip to Russia appears to directly violate U.N. Security Council resolutions to confine him to Iran.    So, Mr.  Trump, if you were president, how would you respond to this?    "
"89","  Another new development today, Senior Defense officials tell Fox they strongly suspect Russia was behind the cyber attack on the Chairman of the Joint Chiefs office...     : ...Please.    "
"90","  ...email.  This comes in the wake of the director of national intelligence blaming the Chinese for the largest ever cyber attack, stealing personal data of tens of millions of Americans.    Senator Cruz, in your view, have Russia and China committed of cyber war, and if you were president, what would you do about it?    "
"91","  Dr.  Carson, in August of 2012 President Obama famously declared Syrian President Bashar al-Assad used chemical weapons, quote, ""that's a red line for us,"" and that there would be enormous consequences.    One year later, and with overwhelming evidence the Assad had, in fact, used chemical weapons and crossed that red line, President Obama declined to use military force against the Assad regime.    As president, would you have used military force there?     "
"92","   Governor Walker, as president, what would you do if Russian President Vladimir Putin started a campaign to destabilize NATO allies Estonia, Latvia, Lithuania, mirroring the actions Putin took at the early days of Ukraine?    "
"93","   Governor -- Governor Huckabee, the culture of the American military is definitely changing.  Women are moving into combat roles.  Don't Ask, Don't Tell has obviously been dropped.  And now Defense Secretary Ashton Carter recently directed the military to prepare for a moment when it is welcoming transgender persons to serve openly.    As commander in chief, how would you handle that?    "
"94","   Senator Paul, the first budget your proposed as senator cut all financial aid to Israel.  You have since changed your view on that issue.  What made you change your mind.    "
"95","   OK.  But you still say that Israel could be one of the countries that is cut from financial aid?    "
"96","   Governor Christie, what do you think of that answer?    "
"97","   Governor, thank you.    "
"98","   Senator, we're going to finish up with some more questions, thank you.    "
"99","   We have to stand you by, because after the break, we're going to let the candidates make their closing statements, their final thoughts, and God.    Stay tuned for that.         "
"100","   Welcome back.      In our final moments here together, we're going to allow the candidates to offer their final thoughts.  But first, we want to ask them an interesting closing question from Chase Norton on Facebook, who wants to know this of the candidates: ""I want to know if any of them have received a word from God on what they should do and take care of first.""    Senator Cruz, start from you.  Any word from God?     "
"101","   Governor Kasich, same question.      "
"102","   Governor Walker, same question.      "
"103","   Senator Rubio, I want to ask you the same question.  But I do want to mention, a woman just came here to the stage and asked, what about the veterans?  I want to hear more about what these candidates are going to do for our nation's veterans.      So I put the question to you about God and the veterans, which you may find to be related.      "
"104","   Dr. Carson, a question to you about God and his role, but also, one of the issues that the public was very interested in, and we touched on it earlier, is race relations in this country, and how divided we seem right now.  And what, if anything, you can do -- you would do as the next president to help heal that divide.       "
"105","   Now each candidate will make a closing statement.  You'll all have 30 seconds to make a closing statement for this debate. We'll start with Ohio Governor John Kasich.      "
"106","   Governor Christie?      "
"107","   Senator Marco Rubio.      "
"108","   Thank you, Senator.      "
"109","   Senator Ted Cruz.      "
"110","   Governor Mike Huckabee, closing statement.      "
"111","   Governor Scott Walker.      "
"112","   Mr. Trump, closing statement, sir.      "
"113","   Gentlemen, thank you.      "
"114","   It's over!      "
"115","   That's it.      "
"116","  I'm Jake Tapper. We're live at the Ronald Reagan Library in Simi Valley, California for the main event. Round 2 of CNN's presidential debate starts now.   "
"117","  The eleven leading Republican candidates for president are at their podiums. They are ready to face off, and if you've been watching this race, you know anything could happen over the next few hours. To viewers who are just joining us, welcome to the Air Force One Pavilion of the Ronald Reagan Presidential Library. Our thanks to the staff here and especially to former first lady Nancy Reagan for this impressive setting with Ronald Reagan's presidential plane as our backdrop.    "
"118","  This debate is airing on CNN networks in the United States and around the world. It's also being broadcast on the Salem Radio Network. I know everyone is very eager to get started.  But first, I want to explain the ground rules tonight. My name is Jake Tapper. I'll be the moderator. I will be joined in the questioning by Salem Radio Network talk show host Hugh Hewitt. He worked in the Reagan administration for six years. And by CNN's chief political correspondent Dana Bash.  I will ask follow-up questions, I will attempt to guide the discussion. Candidates, I will try to make sure each of you gets your fair share of questions. You'll have one minute to answer and 30 seconds for follow-ups and rebuttals. I'll give you time to respond if you've been singled out for criticism.  Our viewers should know we have timing lights that are visible to the candidates to warn them when their time is up. These 11 Republicans are positioned on the stage based on their ranking in recent national polls.     "
"119","  Our goal for this evening is a debate. A true debate, with candidates addressing each other in areas where they differ. Where they disagree -- on policy, on politics, on leadership. Now, let's begin.   I'd like to invite each candidate to take 30 seconds to introduce him or herself to our audience. First to you, Senator Paul.  "
"120","  Senator Cruz?  "
"121","  Thank you one and all for being here. There are many important policy issues facing our nation. We're going to get to many of them tonight, but I do want to start off with some current events in the news, and also some of the comments the candidates have recently made on the campaign trail. "
"122","  Mrs. Fiorina, I want to start with you. Fellow Republican candidate, and Louisiana Governor Bobby Jindal, has suggested that your party's frontrunner, Mr. Donald Trump, would be dangerous as President. He said he wouldn't want, quote, ""such a hot head with his finger on the nuclear codes."" You, as well, have raised concerns about Mr. Trump's temperament.  You've dismissed him as an entertainer. Would you feel comfortable with Donald trump's finger on the nuclear codes?  "
"123","  You didn't answer my question. Would you feel comfortable with Donald Trump's finger on the nuclear codes? It's an issue that one of your fellow candidates has raised.  "
"124","  Mr. Trump?   "
"125","  Mr. -- Senator Paul, your name has been invoked. "
"126","  Mr. Trump?   "
"127","  I want to -- I want to give Mr. Trump... "
"128","  ... Mr. Trump, I want to give you another chance -- Mr. Trump, I want to give you a chance to respond to something that your rival to your left, Governor Bush, said. Governor Bush told me last week when I read him the quote from Governor Jindal that he agrees you're not a serious candidate. Tell Governor Bush why you are a serious candidate and what your qualifications are to be commander-in-chief. "
"129","  Governor Bush, would you feel comfortable with Donald Trump's finger on the nuclear codes? "
"130","  Governor Walker?  "
"131","  Let's move on.    "
"132","  A phenomenon going on in the race right now is the political...  OK, Governor Kasich, go ahead.  "
"133","  We have a lot of issues coming up, sir.  "
"134","  We are getting to the issues, sir.    "
"135","  Phenomenon going on in the race is the political outsiders in the race, Dr. Carson, Donald Trump, Carly Fiorina, all together, have majority support in the polls.  Governor Christie, I want to ask you about something that Dr. Carson said the other day.  Dr. Carson said campaigning is easier for him, because he's not a politician. He can just tell the truth, therefore, while politicians, quote, ""Have their finger in the air to see and do what is politically expedient.""  Governor Christie, tell Dr. Carson, is that a fair description of you?  "
"136","  Well, let's find out. Thank you. "
"137","  Thank you, Governor Christie.  Dr. Carson, who were you thinking about on this stage when you said that?  "
"138","  And more broadly, is experience in government not important for a president to have?  "
"139","  Thank you, Dr. Carson. "
"140","  Thank you.  "
"141","  Thank you. Thank you Ms. Fiorina.    Governor Bush, in addition to the fact that he's an outsider, one of the reasons Mr. Trump is a frontrunner, Republican voters say, is because they like the fact that he is not bought and paid for by wealthy donors. Mr. Trump has repeatedly said that the $100 million you've raised for your campaign makes you a puppet for your donors. Are you?  "
"142","  Is there anything else you want to say about this?  "
"143","  Governor -- "
"144","  Sure Dr. Carson.  "
"145","  Thank you, Dr. Carson. Let's move to Russia if we could. Russia is sending troops and tanks into Syria right now to prop up a U.S. enemy, Bashar al-Assad. President Obama's incoming top general says, quote, ""Russia presents the greatest threat to our national security.""  Mr. Trump, you say you can do business with President Vladimir Putin, you say you will get along, quote, ""very well."" What would you do right now if you were president, to get the Russians out of Syria?  "
"146","  So, you -- just to clarify, the only answer I heard to the question I asked is that you would -- you would reach out to Vladimir Putin, and you would do what? You would...  "
"147","  Senator Rubio, you've taken a very different approach to the -- the question of Russia. You've called Vladimir Putin a, quote, ""gangster.""  Why would President Rubio's approach be more effective than President Trump's?  "
"148","  Thank you, Senator Rubio.     "
"149","  I want to bring in Carly Fiorina.     "
"150","  Ms. Fiorina, you have met...  "
"151","  ...yeah, you've met Vladimir Putin. Yes.  "
"152","  Thank you, Ms. Fiorina.  "
"153","  Thank you.  "
"154","  Thank you. Thank you, Ms. Fiorina.  While you're -- while you brought up the subject of General Suleimani of the Quds forces from Iran, the next president, no matter who he or she may be, will inherit President Obama's Iran deal.  Senator Cruz, Governor Kasich says that anyone who is promising to rip up the Iran deal on day one, as you have promised to do, is, quote, ""inexperienced,"" and, quote, ""playing to a crowd."" Respond to Governor Kasich, please.  "
"155","  Why is that not, as Governor Kasich says, playing to the crowd and an example of you being inexperienced?  "
"156","  Governor Kasich... "
"157","  ...Did Senator Cruz just play to the crowd? "
"158","  ...Thank you, Governor. I want to go to Senator Paul. TRUMP  chicken... "
"159","  I want to go to Senator Paul. Senator Paul, the White House is rolling out the red carpet next week for the President of China, President Xi. Governor Walker says that President Obama should cancel the state dinner because of China's currency manipulation, and because of China's alleged cyber attacks against the United States. Is Governor Walker right? "
"160","  Governor Walker, Senator Paul seemed to suggest...   "
"161","  ...that canceling the state dinner would be rash, and reckless. "
"162","  ...Governor Bush... CRUZ : ...Jake... "
"163","  Governor Bush, your father was the chief diplomatic envoy to China back when Nixon opened relations to China. Is Scott Walker's approach the right one, canceling the state dinner? "
"164","  I want to turn... "
"165","  ...I want to turn to Governor Huckabee who has been very patient. Somebody had to be 11th, and he is, but, I do want to change the subject to the event that you had... "
"166","  ... however you want, but I want to ask this question. "
"167","  All right, sir, go ahead.  "
"168","  OK.  : Jake, I'd like to...  "
"169","  We're going to turn now to Hugh Hewitt, from Salem Radio Network.  "
"170","  Thank you, Senator Paul.    I want to turn now to my colleague Dana Bash.  "
"171","  That would be fair, you're right. You're the third senator.  "
"172","  We're going to go to Dana Bash...   "
"173","  Senator Cruz? "
"174","  Thank you, Senator. "
"175","  Thank you, Senator. "
"176","  Thank you, Senator. I want to... "
"177","  ... turn back to Governor Huckabee... "
"178","  I want to turn back to Governor Huckabee. Governor Huckabee, last week, you held a rally for a county clerk in Kentucky who was jailed for refusing to issue marriage licenses to same-sex couples, as I don't need to tell you. You've called what happened to Kim Davis, that clerk, ""an example of the criminalization of Christianity."" There are several people on the stage who disagree with you. Governor Bush, for example, says that that clerk is sworn to uphold the law. Is Governor Bush on the wrong side of the criminalization of Christianity? "
"179","  Thank you, Governor. "
"180","  Well, I'm not telling you that, Governor. But Governor Bush is, because he -- because he disagrees. He thinks that Kim Davis swore to uphold the law. You disagree? You're not -- you don't... "
"181","  OK. Please do. "
"182","  You did...  "
"183","  Governor, you said, quote, ""she is sworn to uphold the law.""  "
"184","  Let me go to my colleague Dana Bash, who has a question.  "
"185","  Dana, I want to continue on the subject.  Governor Bush, you recently said while discussing Planned Parenthood, quote, you're ""not sure we need a half billion for women's health issues."" Now you've since said that you misspoke, you didn't mean to say ""women's health issues."" But Donald Trump said that quote, that comment, which Hillary Clinton did seize upon immediately, will haunt you the same way Mitt Romney's 47 percent video haunted him.  Tell Donald Trump why he's wrong.  "
"186","  Thank you, Governor Bush.  Donald Trump, let me just... "
"187","  The quote was, ""I'm not sure we need half a billion dollars for women's health issues."" He said he misspoke. You said that that's going to haunt him. Why do you think that? "
"188","  Governor Bush?  "
"189","  I want to -- we're going to get to --  "
"190","  Thank you, Governor.  "
"191","  Thank you, Governor.  "
"192","  We're going to -- we're going to get to many of these issues. This -- we're still in the first block, believe it or not. We're going to get to many of these issues, but before we end this block, Ms. Fiorina, I do want to ask you about this.  In an interview last week in Rolling Stone magazine, Donald Trump said the following about you. Quote, ""Look at that face. Would anyone vote for that? Can you imagine that, the face of our next president?"" Mr. Trump later said he was talking about your persona, not your appearance. Please feel free to respond what you think about his persona.    "
"193","  All right. On that note, in less than two minutes -- we're going to take a very quick break. In less than two minutes, the most contentious issue on the campaign trail. And the candidates on the stage are split over how to handle it. That's coming up next.  Please give some applause to the candidates.    "
"194","  Welcome to CNN's Republican Presidential Debate. No topic perhaps has been more combustible in this campaign than the issue of immigration.  Mr. Trump, you have called for deporting every undocumented immigrant, Governor Christie has said, quote, ""There are not enough law enforcement officers -- local, county, state and federal combined -- to forcibly deport 11 to 12 million people."" Tell Governor Christie how much your plan will cost, and how you will get it done. "
"195","  Governor Christie, you and I have talked about this in an interview. You say that his big wall, his plan to deport 11 to 12 million undocumented immigrants, it sounds great, but it's never going to happen. Tell him why you're skeptical of his plans? "
"196","  Thank you, Governor Christie... "
"197","  I want to bring in Dr. Carson because he too has been skeptical of your plan to immediately deport 11 to 12 million illegal immigrants. He said, quote, ""People who say that have no idea what this entails."" Why do you say that, Dr. Carson? "
"198","  ...Dr. Carson... "
"199","  With all due respect, you said about Donald Trump's plan to deport 11 to 12 million undocumented immigrants, ""People who say that have no idea what this entails."" Why not? "
"200","  ...let's continue the conversation about illegal immigration with Dana Bash. "
"201","  Thank you, Senator Rubio.   "
"202","  Senator Cruz -- Senator Cruz, this week, we learned more about Dr. Carson's plan for the 11 million to 12 million undocumented immigrants in this country. Dr. Carson proposed giving these undocumented immigrants a six- month grace period to pay back taxes then to let them become guest workers and only to deport people who failed to do that. "
"203","  Well, how would you say it, sir? I was just reading the Wall Street Journal quote, but please tell us. "
"204","  OK, from the horse's mouth, Senator Cruz, does that fit your definition of amnesty? "
"205","  Thank you, Senator. Senator Rubio... "
"206","  ... I'm not sure... "
"207","  We'll come back to you -- we'll come back to you in one second, sir. But Senator Rubio, I'm not sure exactly whose plan he's -- he's saying is -- constitutes amnesty, but I know he has said it about your plan in the past, so I want to give you a chance to respond, then, Dr. Carson, we'll come to you. "
"208","  Thank you, Senator. "
"209","  Thank you, Senator. Senator -- Dr. Carson...   ... I want to give you 30 seconds. I'd like you to answer the question. Senator Cruz describes plans such as yours as amnesty. Why is your plan not amnesty? "
"210","  Thank you, Dr. Carson. I want to talk about the issue of birthright citizenship, which -- which has emerged since the first debate as -- as an a -- a major issue in this campaign.  Mr. Trump, you say that babies born in the United States to undocumented immigrants should not any longer get automatic American citizenship. Ms. Fiorina says that you are pandering on this issue and acting like the politicians that you rail against. What's your message to Ms. Fiorina on birthright citizenship?  "
"211","  Ms. Fiorina, the vast majority of countries do not have birthright citizenship...     "
"212","  ...Donald Trump is right about that. Why is it pandering when he's -- he says this?  "
"213","  Ms. Fiorina...  "
"214","  Please.  "
"215","  Thank you.  "
"216","  Thank you, Ms. Fiorina. Mr. Trump, I want to give you the chance to respond...  "
"217","  Thank you, Mr. Trump. Senator Paul... "
"218","  Senator Paul, I want to bring you in. Where -- where do you stand on the issue of birthright citizenship?  "
"219","  All right. Senator Paul, thank you so much. Let's turn to a new topic. We've received a lot of questions on social media about the economy and about jobs. We have two CEOs on stage right now.  Ms. Fiorina, you were CEO of Hewlett Packard. Donald Trump says you, quote, ""ran HP into the ground,"" you laid off tens of thousands of people, you got viciously fired.  For voters looking to somebody with private-sector experience to create American jobs, why should they pick you and not Donald Trump?  "
"220","  Thank you, Ms. Fiorina.  "
"221","  Thank you, Ms. Fiorina. "
"222","  Mr. Trump -- Mr. Trump, why would you be better at creating jobs than Carly Fiorina?  "
"223","  Ms. Fiorina, I want to give you a chance to respond.  "
"224","  Mr. Trump.  "
"225","  Thank you, Mr. Trump.  "
"226","  Governor Christie's name has been invoked. I'd like to give him a 30 second opportunity.  "
"227","  Ms. Fiorina, I want to give you  "
"228","  Governor Kasich, I'm coming to you next, but Ms. Fiorina's name was mentioned, and I have to give her the opportunity to respond if she wants it.  "
"229","  Thank you. "
"230","  Thank you, Ms. Fiorina.  Governor Kasich, I want to come -- I'm coming to you. I'm coming to you. Let me ask the question. You can use the time however you want.  "
"231","  Donald Trump says that the hedge fund guys are getting away with murder by paying a lower tax rate. He wants to raise the taxes of hedge fund managers, as does Governor Bush. Do you agree?  "
"232","  Thank you, Governor.  "
"233","  Thank you, Governor Kasich.  "
"234","  Governor Huckabee, I want to bring you in on the question of hedge fund managers and taxing them. You have said that you are bothered by the fact that hedge fund managers pay such a low tax rate and make 2,500 times what people who work for them make.  Do you agree with what Donald Trump and Governor Bush have proposed, raising their tax rates?  "
"235","  Thank you, Governor.  Dr. Carson, you support scrapping the entire tax code and replacing it with a flat tax based on the principal on tithing from the Bible. If you make $10 billion, you pay $1 billion in taxes, if you make $10, you pay $1 in taxes.  Donald Trump believes in progressive taxation. He says it's not right that rich people pay the same as the poor. Tell Donald Trump why his ideas on taxes are wrong. "
"236","  Mr. Trump... "
"237","  ...What do you think of the flat tax? Do you think it's fair? "
"238","  Thank you, Mr. Trump. Senator Paul? "
"239","  Governor Walker, I want to go to you. Dr. Carson wants to raise the Federal Minimum Wage, you have called it a lame idea. Why is raising the Federal Minimum Wage lame? "
"240","  ...Thank you, Governor... "
"241","  ...Thank you, Governor... "
"242","  Dr. Carson, Governor Walker didn't really answer the question, but I'll let you respond. He called raising the Federal Minimum Wage lame, what do you think of that? "
"243","  Thank you, Dr. Carson... "
"244","  Let me bring in our partner from Salem Radio Network, Hugh Hewitt. "
